발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2018,2018082516,26,주,토,1,1,0,0,0,경북,고령군,차대차,측면충돌,측면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승합차,승합차,건설기계,건설기계,1075834.0,1750192.0,128.3387071,35.74515271
2018,2018042517,50,주,수,1,1,0,0,0,경북,청송군,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,이륜차,이륜차,1141346.0,1839154.0,129.0790577,36.53967688
2018,2018041817,0,주,수,1,1,0,0,0,경북,청송군,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,이륜차,이륜차,화물차,화물차,1141320.0,1815314.0,129.0744215,36.32483777
2018,2018061614,50,주,토,1,2,0,1,0,경북,청송군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,없음,없음,1140106.0,1819086.0,129.0615797,36.35900867
2018,2018062806,40,주,목,1,1,0,0,0,경북,구미시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,없음,없음,1080360.0,1790528.0,128.3928371,36.10842085
2018,2018042112,0,주,토,1,1,0,0,0,경북,구미시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,자전거,자전거,1072712.0,1803619.0,128.3090844,36.22703654
2018,2018010521,29,야,금,1,1,0,0,0,경북,포항시,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,화물차,보행자,보행자,1168669.0,1783399.0,129.3721197,36.03285628
2018,2018063022,15,야,토,1,1,0,0,0,경북,포항시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1167375.0,1780572.0,129.3571658,36.00760506
2018,2018080405,13,야,토,1,1,0,0,0,경북,포항시,차대사람,횡단중,횡단중,운전자법규위반,신호위반,단일로,기타단일로,화물차,화물차,보행자,보행자,1168798.0,1781547.0,129.3731556,36.01614541
2018,2018122117,45,주,금,1,1,0,0,0,경북,포항시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1166852.0,1778635.0,129.3509574,35.99024001
2018,2018091323,13,야,목,1,3,1,1,0,경북,상주시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,1048238.0,1825744.0,128.0381395,36.42802606
2018,2018082121,48,야,화,1,5,0,4,0,대구,달성군,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,1085496.0,1738553.0,128.4443166,35.63943268
2018,2018121015,50,주,월,1,1,0,0,0,경북,구미시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1077489.0,1791069.0,128.3609955,36.11353128
2018,2018100400,30,야,목,1,2,0,0,1,경북,군위군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,특수차,특수차,1105983.0,1785158.0,128.6767515,36.05755674
2018,2018052221,26,야,화,1,3,0,2,0,대구,북구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,화물차,화물차,1092060.0,1766799.0,128.5200534,35.89347647
2018,2018021011,36,주,토,1,1,0,0,0,경남,창원시(통합),차량단독,전도,전도,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,농기계,농기계,없음,없음,1099433.0,1681078.0,128.5912297,35.11997756
2018,2018071621,30,야,월,1,1,0,0,0,경남,진주시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,자전거,자전거,1056800.0,1691561.0,128.1241086,35.21780834
2018,2018022520,23,야,일,1,1,0,0,0,경남,진주시,차대사람,기타,기타,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,승용차,승용차,보행자,보행자,1065955.0,1688180.0,128.2244247,35.18676349
2018,2018011305,22,야,토,1,1,0,0,0,경남,창원시(통합),차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,1118513.0,1678360.0,128.8001902,35.09340918
2018,2018053005,30,야,수,1,1,0,0,0,경남,사천시,차량단독,전복,전복,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,이륜차,이륜차,없음,없음,1046882.0,1675811.0,128.0142415,35.07630557
2018,2018062614,18,주,화,1,1,0,0,0,경남,밀양시,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,1116298.0,1724474.0,128.7824385,35.50937294
2018,2018070313,55,주,화,1,1,0,0,0,경남,밀양시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,화물차,원동기장치자전거,원동기장치자전거,1104463.0,1719211.0,128.6512799,35.46324427
2018,2018010216,3,주,화,1,1,0,0,0,경남,김해시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1129227.0,1694240.0,128.9201882,35.23524102
2018,2018032008,25,주,화,1,1,0,0,0,경남,김해시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,승용차,승용차,1124526.0,1695139.0,128.8686743,35.24394016
